Source,Target,Type,Id,Label,Weight
281,122,Undirected,23644,,1
1118,750,Undirected,23645,,1
77,28,Undirected,23646,,1
1681,394,Undirected,23647,,1
836,43,Undirected,23648,,1
883,686,Undirected,23649,,1
1675,65,Undirected,23650,,1
865,345,Undirected,23651,,1
2770,372,Undirected,23652,,1
2624,536,Undirected,23653,,1
2579,401,Undirected,23654,,1
2770,920,Undirected,23655,,1
981,980,Undirected,23656,,1
2839,379,Undirected,23657,,1
1649,944,Undirected,23658,,1
891,879,Undirected,23659,,1
925,39,Undirected,23660,,1
556,511,Undirected,23661,,1
669,266,Undirected,23662,,1
1272,111,Undirected,23663,,1
2746,592,Undirected,23664,,1
383,48,Undirected,23665,,1
865,701,Undirected,23666,,1
2926,975,Undirected,23667,,1
964,187,Undirected,23668,,1
590,110,Undirected,23669,,1
564,362,Undirected,23670,,1
348,48,Undirected,23671,,1
661,417,Undirected,23672,,1
458,155,Undirected,23673,,1
755,356,Undirected,23674,,1
2130,370,Undirected,23675,,1
941,79,Undirected,23676,,1
1966,754,Undirected,23677,,1
665,467,Undirected,23678,,1
467,295,Undirected,23679,,1
590,370,Undirected,23680,,1
877,628,Undirected,23681,,1
1877,621,Undirected,23682,,1
1669,255,Undirected,23683,,1
860,370,Undirected,23684,,1
3031,351,Undirected,23685,,1
377,94,Undirected,23686,,1
689,261,Undirected,23687,,1
1263,36,Undirected,23688,,1
933,148,Undirected,23689,,1
739,351,Undirected,23690,,1
2320,615,Undirected,23691,,1
1836,528,Undirected,23692,,1
2763,754,Undirected,23693,,1
543,202,Undirected,23694,,1
920,590,Undirected,23695,,1
848,589,Undirected,23696,,1
308,15,Undirected,23697,,1
947,172,Undirected,23698,,1
695,251,Undirected,23699,,1
1490,605,Undirected,23700,,1
897,471,Undirected,23701,,1
589,14,Undirected,23702,,1
923,311,Undirected,23703,,1
508,225,Undirected,23704,,1
943,823,Undirected,23705,,1
619,378,Undirected,23706,,1
640,361,Undirected,23707,,1
2548,436,Undirected,23708,,1
1074,775,Undirected,23709,,1
525,126,Undirected,23710,,1
2294,242,Undirected,23711,,1
787,141,Undirected,23712,,1
278,231,Undirected,23713,,1
466,143,Undirected,23714,,1
1261,665,Undirected,23715,,1
920,413,Undirected,23716,,1
826,458,Undirected,23717,,1
788,707,Undirected,23718,,1
1770,910,Undirected,23719,,1
602,597,Undirected,23720,,1
2883,964,Undirected,23721,,1
758,413,Undirected,23722,,1
865,230,Undirected,23723,,1
527,61,Undirected,23724,,1
1374,480,Undirected,23725,,1
943,638,Undirected,23726,,1
2486,36,Undirected,23727,,1
740,238,Undirected,23728,,1
476,2,Undirected,23729,,1
1517,776,Undirected,23730,,1
2603,340,Undirected,23731,,1
1828,230,Undirected,23732,,1
2419,592,Undirected,23733,,1
2535,624,Undirected,23734,,1
837,719,Undirected,23735,,1
2123,166,Undirected,23736,,1
975,589,Undirected,23737,,1
738,648,Undirected,23738,,1
859,655,Undirected,23739,,1
883,405,Undirected,23740,,1
624,401,Undirected,23741,,1
246,33,Undirected,23742,,1
510,210,Undirected,23743,,1
1354,149,Undirected,23744,,1
348,273,Undirected,23745,,1
1211,535,Undirected,23746,,1
230,15,Undirected,23747,,1
869,361,Undirected,23748,,1
502,53,Undirected,23749,,1
1431,901,Undirected,23750,,1
605,387,Undirected,23751,,1
261,230,Undirected,23752,,1
835,132,Undirected,23753,,1
1991,618,Undirected,23754,,1
494,17,Undirected,23755,,1
988,661,Undirected,23756,,1
789,686,Undirected,23757,,1
530,166,Undirected,23758,,1
2143,131,Undirected,23759,,1
1880,886,Undirected,23760,,1
1465,794,Undirected,23761,,1
280,11,Undirected,23762,,1
372,287,Undirected,23763,,1
2960,593,Undirected,23764,,1
308,162,Undirected,23765,,1
978,599,Undirected,23766,,1
1585,427,Undirected,23767,,1
696,628,Undirected,23768,,1
923,738,Undirected,23769,,1
1672,624,Undirected,23770,,1
772,448,Undirected,23771,,1
351,317,Undirected,23772,,1
646,224,Undirected,23773,,1
434,34,Undirected,23774,,1
362,161,Undirected,23775,,1
1610,614,Undirected,23776,,1
640,313,Undirected,23777,,1
748,589,Undirected,23778,,1
762,213,Undirected,23779,,1
1130,438,Undirected,23780,,1
748,599,Undirected,23781,,1
1619,170,Undirected,23782,,1
1754,624,Undirected,23783,,1
2048,357,Undirected,23784,,1
3015,614,Undirected,23785,,1
932,255,Undirected,23786,,1
932,365,Undirected,23787,,1
2427,751,Undirected,23788,,1
233,191,Undirected,23789,,1
741,234,Undirected,23790,,1
1111,103,Undirected,23791,,1
879,754,Undirected,23792,,1
389,378,Undirected,23793,,1
438,427,Undirected,23794,,1
291,103,Undirected,23795,,1
191,57,Undirected,23796,,1
2232,242,Undirected,23797,,1
948,242,Undirected,23798,,1
789,141,Undirected,23799,,1
1974,476,Undirected,23800,,1
731,670,Undirected,23801,,1
816,310,Undirected,23802,,1
865,543,Undirected,23803,,1
1589,187,Undirected,23804,,1
274,272,Undirected,23805,,1
816,308,Undirected,23806,,1
2040,510,Undirected,23807,,1
797,381,Undirected,23808,,1
879,66,Undirected,23809,,1
794,536,Undirected,23810,,1
2450,165,Undirected,23811,,1
